vVirusNameCorrected,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vICTVnumber,ReverseZoonoses,IsHoSa,IsHoSa.stringent,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vWOKcites,vPubMedCites,vCytoReplicTF,vSegmentedTF,vVectorYNna,vSSoDS,vDNAoRNA,vEnvelope,IsZoonotic,IsZoonotic.stringent
JC_polyomavirus,Unassigned,Polyomaviridae,,Polyomavirus,0,,0,1,1,4970.0,5169.0,5069.5,115,88,True,False,N,DS,DNA,non-enveloped,0,0
Jugra_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,0,0,,,11440.0,2,1,True,False,Y,SS,RNA,enveloped,0,0
Junin_virus,Unassigned,Arenaviridae,,Arenavirus,0,00.003.0.01.010.,0,1,1,,,10525.0,780,496,True,True,N,SS,RNA,enveloped,1,1
Jurona_virus,Mononegavirales,Rhabdoviridae,,Vesiculovirus,Tentative in genus,,0,0,0,,,11121.0,2,1,True,False,Y,SS,RNA,enveloped,0,0
Jutiapa_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,0,0,,,10125.0,1,1,True,False,Y,SS,RNA,enveloped,0,0
Kaeng_Khoi_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,0,0,,,12912.0,5,3,True,True,Y,SS,RNA,enveloped,0,0
Kairi_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,1,0,,,6137.0,10,6,True,True,Y,SS,RNA,enveloped,1,0
Kasokero_virus,Unassigned,Bunyaviridae,,Unassigned,0,,0,1,1,,,6317.0,3,1,True,True,N,SS,RNA,enveloped,1,1
Kern_Canyon_virus,Mononegavirales,Rhabdoviridae,,Unassigned,0,,0,0,0,,,,6,4,True,False,Y,SS,RNA,enveloped,0,0
Keuraliba_virus,Unassigned,Rhabdoviridae,,Unassigned,0,,0,0,0,,,,1,1,False,False,N,SS,RNA,enveloped,0,0
Khabarovsk_virus,Unassigned,Bunyaviridae,,Hantavirus,0,,0,0,0,12132.0,12132.0,12132.0,5,2,True,True,N,SS,RNA,enveloped,0,0
Khujand_virus,Mononegavirales,Rhabdoviridae,,Lyssavirus,Tentative in genus,,0,0,0,,,11903.0,9,4,True,False,N,SS,RNA,enveloped,0,0
Kilham_rat_virus,Unassigned,Parvoviridae,Parvovirinae,Parvovirus,0,,0,0,0,4746.0,5176.0,4961.625,115,88,False,False,N,SS,DNA,non-enveloped,0,0
