name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Alicyclobacillus acidoterrestris,1,,,,,,,
Alicyclobacillus cycloheptanicus,1,,,,,,,
Alicyclobacillus disulfidooxidans,1,,,,,,,
Aliivibrio fischeri,1,,,,,,,
Aliivibrio logei,1,,,,,,,
Aliivibrio salmonicida,1,,,,,,,
Alishewanella fetalis,1,,,,,,,
Alistipes putredinis,2,,,,,,,
Alistipes shahii,1,,,,,,,
Alkalibacillus filiformis,1,,,,,,,
Alkalibacillus flavidus,1,,,,,,,
Alkalibacillus haloalkaliphilus,1,,,,,,,
Alkalibacillus salilacus,1,,,,,,,
Alkalibacillus silvisoli,1,,,,,,,
Alkalicoccobacillus gibsonii,1,,,,,,,
Alkalihalobacillus alcalophilus,1,,,,,,,
Alkalihalobacillus pseudalcaliphilus,1,,,,,,,
Alkalihalophilus pseudofirmus,1,,,,,,,
Alkalispirochaeta alkalica,1,,,,,,,
Alkalithermobacter paradoxus,1,,,,,,,
Allochromatium minutissimum,1,,,,,,,
Allochromatium vinosum,1,,,,,,,
Allochromatium warmingii,1,,,,,,,
Allofustis seminis,1,,,,,,,
Alloiococcus otitis,2,,,,,,,
Allokutzneria albata,1,,,,,,,
Allomeiothermus silvanus,1,,,,,,,
Alloprevotella tannerae,2,,,,,,,
Allopseudospirillum japonicum,1,,,,,,,
Allorhizobium undicola,1,,,,,,,
Allorhizobium vitis,1,,,,,,,
Alongshan virus,3,,,,,,,
Alphaarterivirus equid,1,,,,,,,
Alphabaculovirus adhonmai,1,,,,,,,
Alphabaculovirus agipsilonis,1,,,,,,,
Alphabaculovirus agsegetum,1,,,,,,,
Alphabaculovirus alteragsegetum,1,,,,,,,
Alphabaculovirus alterchofumiferanae,1,,,,,,,
Alphabaculovirus altermaconfiguratae,1,,,,,,,
Alphabaculovirus angemmatalis,1,,,,,,,
Alphabaculovirus anpernyi,1,,,,,,,
Alphabaculovirus aucalifornicae,1,,,,,,,
Alphabaculovirus bomori,1,,,,,,,
