genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth,rg_label
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,1.0,1
5,33,0,1,0,0,1,0,1.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,1.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,1.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,1.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
5,33,0,1,0,0,1,0,3.0,3
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,24.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,16.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,5.0,3
4,17,0,1,0,0,1,0,18.0,3
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,25.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,3
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,1
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,2
4,17,0,1,0,0,1,0,3.0,1
5,18,0,1,0,0,1,0,2.0,2
5,18,0,1,0,0,1,0,3.0,2
5,18,0,1,0,0,1,1,2.0,2
5,18,0,1,0,0,1,0,1.0,2
5,18,0,1,0,0,1,0,3.0,2
5,18,0,1,0,0,1,0,1.0,2
5,18,0,1,0,0,1,0,3.0,2
5,18,0,1,0,0,1,1,3.0,2
