Organism,Risk Group,Agent Type,Alternate Names
Acinetobacter rhizosphearea,RG2,Bacteria,
Acinetobacter rudis,RG2,Bacteria,
Acinetobacter schindleri,RG1,Bacteria,Acinetobacter sp. phenon 2
Acinetobacter seohaensis,RG1,Bacteria,
Acinetobacter soli,RG1,Bacteria,
Acinetobacter ursingii,RG1,Bacteria,Acinetobacter sp. phenon 1
Acinetobacter tandoii,RG1,Bacteria,
Acinetobacter tjernbergiae,RG2,Bacteria,
Acinetobacter towneri,RG1,Bacteria,
Acinetobacter venetianus,RG1,Bacteria,
Fusobacterium necrophorum,RG2,Bacteria,"Corynebacterium necrophorum,Acinomyces pseudonecrophorus,Actinomyces necrophorus,Fusiformis hemolyticus,Fusiformis necrophorus,Bacillus necrophorus,Proactinomyces necrophorus,Sphaerophorus necrophorus,Bacteroides necrophorus,Necrobacterium necrophorus"
Planctomyces bekefii,RG1,Bacteria,"Acinothrix globulifera,Blastocaulis sphaerica,Planctomyces crassus,Planctomyces subulatus"
Lasionectria cerealis,,Fungus,"Acremonium cereale,Gliomastix cerealis"
Epichloe coenophiala,,Fungus,"Acremonium coenophialum,Neotyphodium coenophialum"
Neocosmospora falciforme,,Fungus,"Fusarium falciforme,Acremonium falciforme,Cephalosporium falciforme"
Sarocladium kiliense,,Fungus,"Cephalosporium infestans,Cephalosporium kiliense,Cephalosporium madurae,Acremonium kiliense,Cephalosporium acremonium,Cephalosporium granulomatis"
Xenoacremonium recifei,,Fungus,"Cephalosporium recifei,Hyalopus furcatus,Hyalopus recifei,Acremonium recifei"
Sarocladium strictum,RG1,Fungus,Acremonium strictum
Phialemonium thermophilum,RG1,Fungus,Acremonium thermophilum
Acrocarpospora corrugata,RG1,Bacteria,Streptosporangium  corrugatum
Acrodontium salmoneum,,Fungus,
Geotrichum candidum,RG1,Fungus,"Teleomorph: Dipodascus geotrichum,Botrytis geotricha,Torula geotricha,Acrosporium candidum,Endomyces lactis,Oidium pulmoneum"
Trichoderma koningii,RG1,Fungus,Acrostalagmus koningii
Fonsecaea pedrosoi,RG2,Fungus,"Phialophora pedrosoi,Gomphinaria pedrosoi,Hormodendroides pedrosoi,Hormodendrum pedrosoi,Acrotheca pedrosoi,Rhinocladiella pedrosoi,Carrionia pedrosoi,Trichosporum pedrosianum,Trichosporum pedrosoi"
Epidermophyton floccosum,RG2,Fungus,"Blastotrichum floccosum,Dactylium floccosum,Acrothecium floccosum"
Actinoallomurus spadix,RG1,Bacteria,Actinomadura spadix
Actinoalloteichus caeruleus,RG1,Bacteria,"Actinoalloteichus cyanogriseus,Actinomyces caeruleus,Streptomyces caeruleus"
Aggregatibacter actinomycetemcomitans,RG2,Bacteria,"Bacterium acetinomycetum comitans,Actinobacillus actinomycetemcomitans,Bacterium actinomycetemcomitans,Haemophilus actinomycetemcomitans,Bacterium actinomycetem comitans,Bacterium comitans"
Actinobacillus arthritidis,RG1,Bacteria,
Actinobacillus capsulatus,RG1,Bacteria,
Actinobacillus delphinicola,RG1,Bacteria,
Actinobacillus equuli,RG2,Bacteria,"Shigella equi,Shigella equirulis,Shigella equuli,Bacillus equirulis,Bacillus equuli,Shigella viscosa,Bacillus pyosepticus,Bacterium pyosepticum viscosum,Bacillus nephritidis equi,Eberthella viscosa,Bacterium equi"
Actinobacillus equuli subsp. equuli,RG2,Bacteria,
Actinobacillus equuli subsp. haemolyticus,RG2,Bacteria,
