Organism,Risk Group,Agent Type,Alternate Names
Ornithodoros moubata,RG1,Parasite,
Orthobunyavirus oropoucheense,RG3,Virus,"Oropouche virus,Oropouche orthobunyavirus"
Orthoavulavirus javaense Newcastle disease virus Lentogenic strain La Sota,RG2,Virus,
"Orthoavulavirus javaense Newcastle disease virus Lentogenic strains: Hitchner B1, N79, V4",RG2,Virus,
"Orthoavulavirus javaense Newcastle disease virus Mesogenic strains: NJ-Roakin, Mukteswar, Komorov, Roakin",RG2,Virus,
Orthobunyavirus achiotei,RG2,Virus,"Trivittatus virus,Trivittatus orthobunyavirus"
Orthobunyavirus angeloense,RG2,Virus,"San Angelo virus,San Angelo orthobunyavirus"
Orthobunyavirus catuense (Moju virus),RG2,Virus,
Orthobunyavirus khatangaense,RG2,Virus,"Snowshoe hare orthobunyavirus,Snowshoe hare virus"
Orthobunyavirus patoisense,RG2,Virus,"Patois orthobunyavirus,Patois virus"
Orthobunyavirus sedlecense,RG2,Virus,Sedlec virus
Orthobunyavirus simbuense,RG2,Virus,"Simbu orthobunyavirus,Simbu virus"
Orthobunyavirus squalofluvii,RG2,Virus,"Shark River orthobunyavirus,Shark River virus"
Orthobunyavirus tacaiumaense,RG2,Virus,"Virgin River virus,Tacaiuma orthobunyavirus,Tacaiuma virus"
Orthobunyavirus tahynaense,RG2,Virus,"Tahyna orthobunyavirus,Tahyna virus"
Orthobunyavirus teteense,RG2,Virus,"Tete orthobunyavirus,Tete virus"
Orthobunyavirus thimiriense,RG2,Virus,"Thimiri orthobunyavirus,Thimiri virus"
Orthobunyavirus timboteuaense,RG2,Virus,"Timboteua orthobunyavirus,Timboteua virus"
Orthobunyavirus turlockense,RG2,Virus,"Turlock orthobunyavirus,Turlock virus"
Orthobunyavirus wyeomyiae,RG2,Virus,"Wyeomyia virus,Wyeomyia orthobunyavirus"
Orthoflavivirus bravoense,RG2,Virus,Rio Bravo virus
Orthoflavivirus flavi (Yellow fever virus vaccine strain 17D),RG2,Virus,
Orthoflavivirus ilheusense (Ilheus virus),RG2,Virus,
Orthoflavivirus ilheusense (Rocio virus),RG3,Virus,
Orthoflavivirus louisense,RG3,Virus,"Saint Louis encephalitis virus,St. Louis encephalitis virus"
Orthoflavivirus nilense (West Nile virus NS5-E218A mutant strain),RG2,Virus,
Orthoflavivirus nilense (West Nile virus strain Sarafend),,Virus,
Orthoflavivirus nilense NATtrol Inactivated,RG2,Virus,West Nile virus NATtrol inactivated
Orthoflavivirus nilense RepliVax WN,RG2,Virus,West Nile virus RepliVax WN
Orthoflavivirus perlitaense,RG3,Virus,San Perlita virus
Orthoflavivirus phnompenhense,RG2,Virus,Phnom Penh bat virus
Orthoflavivirus royalense,RG2,Virus,Royal Farm virus
Orthoflavivirus saboyaense,RG2,Virus,Saboya virus
Orthoflavivirus saumarezense,RG3,Virus,Saumarez Reef virus
Orthoflavivirus sepikense,RG3,Virus,Sepik virus
Orthoflavivirus tembusu,RG2,Virus,Tembusu virus
Orthoflavivirus tyuleniyense,RG2,Virus,Tyuleniy virus
Orthoflavivirus ugandaense,RG2,Virus,Uganda S Virus
Orthoflavivirus usutuense,RG2,Virus,Usutu virus
Orthoflavivirus viejaense,RG3,Virus,Sal Vieja virus
Wesselsbrons virus,RG3,Virus,Orthoflavivirus wesselsbronense
Orthoflavivirus yaoundeense,RG3,Virus,Yaounde virus
Orthoflavivirus yokoseense,,Virus,Yokose virus
Orthoflavivirus zikaense,RG2,Virus,Zika virus
Orthohantavirus oxbowense,RG3,Virus,"Oxbow virus,Oxbow orthohantavirus"
Orthohantavirus prospectense,RG2,Virus,"Prospect Hill virus,Prospect Hill orthohantavirus"
Orthohantavirus sangassouense,RG3,Virus,"Sangassou orthohantavirus,Sangassou virus"
Orthohantavirus seoulense,RG3,Virus,"Seoul virus,Seoul orthohantavirus,Seoul hantavirus"
Serang virus,RG3,Virus,Orthohantavirus thailandense
Orthohantavirus thailandense,RG3,Virus,"Thailand orthohantavirus,Thailand virus,Serang virus"
Orthohantavirus tulaense,RG3,Virus,"Tula orthohantavirus,Tula virus"
Orthohepadnavirus marmotae,RG1,Virus,Woodchuck hepatitis virus
Orthonairovirus thiaforaense,RG2,Virus,"Thiafora virus,Thiafora orthonairovirus"
Orthonairovirus tomdiense,RG3,Virus,"Tamdy virus,Tamdy orthonairovirus"
Orthonairovirus yezoense,RG2,Virus,Yezo virus
Orthonairovirus yogueense,RG2,Virus,"Yogue virus,Yogue orthonairovirus"
Orthopoxvirus raccoonpox,RG2,Virus,Raccoonpox virus
Orthopoxvirus skunkpox,RG2,Virus,Skunkpox virus
Orthopoxvirus vaccinia NYVAC,RG1,Virus,Vaccinia virus NYVAC
Orthopoxvirus vaccinia Recombinant modified vaccinia virus Ankara (MVA) encoding rabies glycoprotein and chronic wasting disease agent epitope,RG2,Virus,
Orthopoxvirus vaccinia strain VET3-TGI,RG2,Virus,Vaccinia virus strain VET3-TGI
Orthopoxvirus volepox,RG2,Virus,Volepox virus
SJSA-1,RG1,Cell Line,"SJSA,OsACL,OsA"
Oscillochloris chrysea,RG1,Bacteria,
Oscillochloris trichoides,RG1,Bacteria,
Oscillospira guilliermondii,RG1,Bacteria,
Ostreavirus ostreidmalaco1,RG1,Virus,"Ostreid herpesvirus 1,Oyster herpesvirus"
Ourem virus,RG3,Virus,
Ovine lentivirus,,Virus,Ovine lymphosarcoma virus
Oxalobacter formigenes,RG1,Bacteria,
Oxalobacter vibrioformis,RG1,Bacteria,
Thogotovirus ozense,RG3,Virus,Oz virus
PA317 LXSN 16E6E7,RG1,Cell Line,PA317/LXSN-16E6E7
Trichoderma hamatum,RG1,Fungus,"Pachybasium hamatum,Verticillium hamatum,Phymatotrichum hamatum"
Paecilomyces saturatus,RG1,Fungus,Paecilomyces mandshuricum var. saturatus.
Paecilomyces variotii,RG2,Fungus,Penicillium variotii
Paenibacillus chibensis,RG1,Bacteria,Paenibacillus ahibensis
Paenibacillus azotofixans,RG1,Bacteria,
Paenibacillus campinasensis,RG1,Bacteria,
Paenibacillus chitinolyticus,RG1,Bacteria,Paenibacillus chitinolyticus
Paenibacillus dendritiformis,RG1,Bacteria,
Paenibacillus illinoisensis,RG1,Bacteria,
Paenibacillus larvae,RG1,Bacteria,"Paenibacillus larvae subsp. larvae,Paenibacillus larvae subsp. pulvifaciens"
Paeniclostridium bifermentans phospholipase C,Unregulated Toxins,Toxin,
Paeniclostridium sordellii phospholipase C,Unregulated Toxins,Toxin,
Treponema pallidum,RG2,Bacteria,Pale treponema
Pantoea agglomerans PSV1-7,RG1,Bacteria,
Pantoea allii,RG1,Bacteria,
Pantoea ananatis,RG1,Bacteria,
Tatumella citrea,RG1,Bacteria,Pantoea citrea
Pantoea dispersa,RG1,Bacteria,
Pantoea eucalypti,RG1,Bacteria,
Tatumella punctata,RG1,Bacteria,Pantoea punctata
Pantoea vagans,RG1,Bacteria,
Panton-Valentine leukocidin,Unregulated Toxins,Toxin,
Parabacteroides chartae,RG1,Bacteria,
Parabacteroides chinchillae,RG1,Bacteria,
Parabacteroides faecis,RG1,Bacteria,
Parabacteroides goldsteinii,RG1,Bacteria,
Parabacteroides gordonii,RG1,Bacteria,
Parabacteroides johnsonii,RG1,Bacteria,
Parabacteroides merdae,RG1,Bacteria,
Parabacteroides timonensis,RG1,Bacteria,
Paracoccidioides americana,RG3,Fungus,Paracoccidioides brasiliensis
Paracoccidioides restrepiensis,RG3,Fungus,Paracoccidioides brasiliensis
Paracoccidioides brasiliensis,RG3,Fungus,
Paracoccidioides venezuelensis,RG3,Fungus,Paracoccidioides brasiliensis
Paracoccidioides lutzii,RG3,Fungus,
Paracoccus alcaliphilus,RG1,Bacteria,
Paracoccus alkenifer,RG1,Bacteria,
Paracoccus aminophilus,RG1,Bacteria,
Paracoccus aminovorans,RG1,Bacteria,
Paracoccus kocurii,RG1,Bacteria,
Paracoccus marcusii,RG1,Bacteria,
Paracoccus methylutens,RG1,Bacteria,
Paracoccus pantotrophus,RG1,Bacteria,Thiosphaera pantotropha
Paracoccus pantotrophus DSM 65,RG1,Bacteria,
Paracoccus solventivorans,RG1,Bacteria,
Paracoccus thiocyanatus,RG1,Bacteria,
Paracoccus versutus,RG1,Bacteria,"Thiobacillus rapidicrescen,Thiobacillus versutus"
Paracraurococcus ruber,RG1,Bacteria,
Parafasciolopsis fasciolaemorpha,RG1,Parasite,
Parafilaria bovicola,RG1,Parasite,
Paraglomus brasilianum,RG1,Fungus,
Paralactobacillus selangorensis,RG1,Bacteria,
Paraliobacillus quinghaiensis,RG1,Bacteria,
Paraliobacillus ryukyuensis,RG1,Bacteria,
Paramecium aurelia-komplex,RG1,Other,"Paramecium aurelia,Paramaecium aurelia"
Paramecium caudatum,RG1,Other,Paramaecium caudatum
Paramecium multimicronucleatum,RG1,Other,Paramecium multimicronucleata
Paramecium primaurelia,,Other,
Paramecium tetraurelia,RG1,Other,
Paranoplocephala mamillana,RG1,Parasite,
Pararhizobium giardinii,RG1,Bacteria,Rhizobium giardinii
Pararhodospirillum photometricum,RG1,Bacteria,Rhodospirillum photometricum
Parascaris equorum,RG1,Parasite,
Parechovirus cebokele,RG2,Virus,"Sebokele virus,Parechovirus C"
Parelaphostrongylus andersoni,,Parasite,
Parelaphostrongylus odocoilei,,Parasite,
Paroo River virus,RG3,Virus,
Pasteurella aerogenes,RG2,Bacteria,
Pasteurella bettyae,RG2,Bacteria,Pasteurella bettii
Pasteurella caballi,RG1,Bacteria,
Pasteurella canis,RG2,Bacteria,
Pasteurella dagmatis,RG2,Bacteria,
Pasteurella langaaensis,RG1,Bacteria,
Yersinia pseudotuberculosis,RG2,Bacteria,Pasteurella lymphangitidis
Pasteurella mairii,RG1,Bacteria,
Pasteurella multocida,RG2,Bacteria,
"Pasteurella multocida subsp. multocida serotypes A, C, D, F",RG2,Bacteria,
"Pasteurella multocida subsp. multocida serotypes B, E",RG2,Bacteria,
Pasteurella multocida subsp. septica,RG2,Bacteria,
Pasteurella multocida toxin,Regulated Toxins,Toxin,
Photobacterium damselae subsp. piscicida,RG1,Bacteria,Pasteurella piscicida
Pasteurella pneumotropica,RG2,Bacteria,
Pasteurella skyensis,RG1,Bacteria,
Pasteurella stomatis,RG2,Bacteria,
Pasteuria nishizawae,RG1,Bacteria,
Pasteuria ramosa,RG1,Bacteria,Pirellula staleyi
Pasteuria thornei,RG1,Bacteria,
Patulin,Unregulated Toxins,Toxin,
Paucimonas lemoignei,RG1,Bacteria,Pseudomonas lemoignei
Paucisalibacillus globulus,RG1,Bacteria,
PC-3,RG1,Cell Line,PC3
Pectenotoxins,Unregulated Toxins,Toxin,
Pectinatus cerevisiiphilus,RG1,Bacteria,
Pectinatus frisingensis,RG1,Bacteria,
Pectinatus haikarae,RG1,Bacteria,
Pediococcus acidilactici,RG1,Bacteria,Pediococcus lindneri
Pediococcus cellicola,RG1,Bacteria,
Pediococcus damnosus,RG1,Bacteria,
Tetragenococcus solitarius,RG1,Bacteria,"Pediococcus halophilus,Sarcina hamaguchiae,Pediococcus soyae"
Pediococcus pentosaceus,RG1,Bacteria,Pediococcus hennebergii
Pediococcus inopinatus,RG1,Bacteria,
Pediococcus parvulus,RG1,Bacteria,
Pediococcus stilesii,RG1,Bacteria,
Pedobacter africanus,RG1,Bacteria,
Pedobacter antarcticus,RG1,Bacteria,"Pedobacter piscium,Sphingobacterium antarcticum"
Pedobacter piscium,RG1,Bacteria,Sphingobacterium piscium
Pseudopedobacter saltans,RG1,Bacteria,Pedobacter saltans
Pedomicrobium americanum,RG1,Bacteria,
Pedomicrobium australicum,RG1,Bacteria,
Pedomicrobium ferrugineum,RG1,Bacteria,
Pedomicrobium manganicum,RG1,Bacteria,
Pelistega europaea,RG1,Bacteria,
Syntrophotalea acetylenica,RG1,Bacteria,Pelobacter acetylenicus
Pelobacter acidigallici,RG1,Bacteria,
Syntrophotalea carbinolica,RG1,Bacteria,Pelobacter carbinolicus
Pelobacter massiliensis,RG1,Bacteria,
Pelobacter propionicus,RG1,Bacteria,
Syntrophotalea venetiana,RG1,Bacteria,Pelobacter venetianus
Pelodictyon phaeoclathratiforme,RG1,Bacteria,
Pelodictyon phaeum,RG1,Bacteria,
Roseateles saccharophilus,RG1,Bacteria,"Pelomonas saccharophila,Pseudomonas saccharophila"
Talaromyces pinophilus,RG1,Fungus,"Penicillium allahabadense,Penicillium korosum,Penicillium pinophilum,Talaromyces allahabadensis"
Penicillium bilaiae,RG1,Fungus,
Penicillium brevicompactum,RG1,Fungus,"Penicillium biourgeianum,Penicillium brunneostoloniferum"
Penicillium camemberti,RG1,Fungus,Penicillium candidum
Penicillium chrysogenum,RG1,Fungus,Penicillium notatum
Penicillium citrinum,RG1,Fungus,
Penicillium commune,RG1,Fungus,
Penicillium corylophilum,RG1,Fungus,
Penicillium simplicissimum,RG1,Fungus,"Penicillium cremeogriseum,Penicillium piscarium,Penicillium pulvillorum"
Penicillium crustosum,RG1,Fungus,Penicillium solitum
Penicillium expansum,RG1,Fungus,
Talaromyces funiculosus,RG1,Fungus,Penicillium funiculosum
Penicillium lagena,,Fungus,"Torulomyces lagena,Teleomorph: Eupenicillium limoneum"
Talaromyces marneffei,RG2,Fungus,"Penicillium marneffei,Talaromyces (Penicillium) marneffei"
Penicillium melinii,,Fungus,Penicillium radulatum
Penicillium menonorum,RG1,Fungus,
Penicillium nordicum,RG1,Fungus,
Talaromyces purpureogenus,RG2,Fungus,Penicillium purpurogenum
Penicillium restrictum,RG1,Fungus,
Penicillium roquefortii,RG1,Fungus,
Penicillium spinulosum,RG1,Fungus,
Talaromyces variabilis,,Fungus,Penicillium variabile
Penicillium verrucosum,RG1,Fungus,
Talaromyces verruculosus,RG1,Fungus,Penicillium verruculosum
Peptococcus anaerobius,RG2,Bacteria,
Peptoniphilus harei,RG2,Bacteria,"Schleiferella harei,Peptostreptococcus hareii"
Peptoniphilus ivorii,RG2,Bacteria,Peptostreptococcus ivorii
Peptoniphilus lacrimalis,RG2,Bacteria,"Schleiferella lacrimalis,Peptostreptococcus lacrimalis"
Peptostreptococcus anaerobius,RG2,Bacteria,Streptococcus anaerobius
Periconia macrospinosa,RG1,Fungus,
Vesiculovirus perinet,RG3,Virus,"Perinet virus,Perinet vesiculovirus"
Perkinsus olsenii,,Parasite,"Perkinsus olseni,Perkinsus atlanticus"
Phytophthora boodjera,RG1,Other,Peronophythora boodjera
Phytophthora megakarya,RG1,Other,Peronophythora megakarya
Phytophthora infestans,RG1,Other,Peronospora infestans
Pertussis toxin,Regulated Toxins,Toxin,
Pertussis toxin mutant R9K/E129A,Unregulated Toxins,Toxin,
Pestalotiopsis mangiferae,,Fungus,Pestalotia mangiferae
Pestalotiopsis sydowiana,,Fungus,"Pestalotia sydowiana,Pestalotiopsis guepinii var. macrotricha,Pestalotiopsis macrotricha"
Peterkaempfera griseoplanus,RG1,Bacteria,Streptomyces griseoplanus
Petrotoga miotherma,RG1,Bacteria,
Petrotoga mobilis,RG1,Bacteria,
Phaeobacter gallaeciensis,RG1,Bacteria,Roseobacter gallaecia
Phaeovulum veldkampii,RG1,Bacteria,Rhodobacter veldkampii
Phascolarctobacterium faecium,RG1,Bacteria,
Phaseolibacter flectens,RG1,Bacteria,Pseudomonas flectens
Phenylobacterium immobile,RG1,Bacteria,
Phialophora verrucosa,RG2,Fungus,
Phlebiopsis gigantea,RG1,Fungus,
Phlebovirus florisense,RG2,Virus,Saint Floris virus
Phlebovirus napoliense,RG2,Virus,Sandfly fever Naples phlebovirus
Phlebovirus riftense,RG3,Virus,"Rift Valley fever virus,Zinga virus"
Phlebovirus riftense strain MP-12,RG2,Virus,Rift Valley fever virus strain MP-12
Phlebovirus riograndense,RG2,Virus,Rio Grande virus
Phlebovirus salangaense,RG3,Virus,Salanga virus
Spizellomyces acuminatus,RG1,Fungus,"Spizellomyces acuminatum,Phlyctochytrium acuminatum"
Phoma dennisii,RG2,Fungus,
Phoma herbarum,,Fungus,
Vibrio tapetis,RG1,Bacteria,Photobacter splendidum
Photobacterium angustum,RG1,Bacteria,Vibrio angustum
Photobacterium iliopiscarium,RG1,Bacteria,Vibrio iliopiscarius
Photobacterium kishitanii,RG1,Bacteria,
Photobacterium leiognathi,RG1,Bacteria,
Photobacterium profundum,RG1,Bacteria,
Photobacterium rosenbergii,RG1,Bacteria,
Photorhabdus asymbiotica,RG1,Bacteria,
Photorhabdus luminescens,RG1,Bacteria,Xenorhabdus luminescens
Thiospira winogradskyi,RG1,Bacteria,"Thiospira winograskyi,phototrophic bacterium A12"
Phycomyces blakesleeanus,RG1,Fungus,
Phytophthora agathidicida,RG1,Other,
Phytophthora alni,RG1,Other,
Phytophthora bilorbang,RG1,Other,
Phytophthora boehmeriae,RG1,Other,
Phytophthora botryosa,RG1,Other,
Phytophthora citricola,RG1,Other,Phytophthora cactorum var. applanata
Phytophthora cajani,RG1,Other,
Phytophthora cambivora,RG1,Other,
Phytophthora capsici,RG1,Other,Phytophthora parasitica var. capsici
Phytophthora castaneae,RG1,Other,Phytophthora katsurae
Phytophthora cinnamomi,RG1,Other,"Phytophthora cinnamomi var. robiniae,Phytophthora cinnamomi var. parvispora"
Phytophthora citrophthora,RG1,Other,"Phytophthora imperfecta var. citrophthora,Pythiacystis citrophthora"
Phytophthora condilina,RG1,Other,
Phytophthora constricta,RG1,Other,
Phytophthora cryptogea,RG1,Other,
Phytophthora drechsleri,RG1,Other,"Phytophthora erythroseptica var. drechsleri,Phytophthora drechsleri var. cajani"
Phytophthora elongata,RG1,Other,
Phytophthora erythroseptica,RG1,Other,Phytophthora erythroseptica var. pisi
Phytophthora fragariae,RG1,Other,Phytophthora fragariae var. oryzobladis
Phytophthora gibbosa,RG1,Other,
Phytophthora gonapodyides,RG1,Other,Pythiomorpha gonapodyides
Phytophthora gregata,RG1,Other,
Phytophthora palmivora,RG1,Other,Phytophthora heveae
Phytophthora hibernalis,RG1,Other,
Phytophthora honggalleglyana,RG1,Other,Phytophthora hydropathica
Phytophthora inflata,RG1,Other,
Phytophthora iranica,RG1,Other,
Phytophthora kernoviae,RG1,Other,
Phytophthora lateralis,RG1,Other,
Phytophthora litoralis,RG1,Other,
Phytophthora medicaginis,RG1,Other,
Phytophthora megasperma,RG1,Other,Pythiomorpha miyabeana
Phytophthora sojae,RG1,Other,Phytophthora megasperma var. sojae
Phytophthora moyootj,RG1,Other,
Phytophthora nicotianae,RG1,Other,"Phytophthora nicotianae var. parasitica,Phytophthora parasitica var. nicotianae,Phytophthora parasitica"
Phytophthora niederhauserii,RG1,Other,
Phytophthora plurivora,RG1,Other,
Phytophthora pseudosyringae,RG1,Other,
Phytophthora psychrophila,RG1,Other,
Phytophthora quercina,RG1,Other,
Phytophthora ramorum,RG1,Other,
Phytophthora rosacearum,RG1,Other,
Phytophthora tentaculata,RG1,Other,
Phytophthora uliginosa,RG1,Other,
Scheffersomyces stipitis,RG1,Fungus,"Yamadazyma stipitis,Pichia stipitis"
Picrophilus oshimae,RG1,Bacteria,Picrophilus torridus
Trichuris suis,RG1,Parasite,"Pig whipworm,Porcine whipworm"
Pilimelia anulata,RG1,Bacteria,
Pilimelia columellifera,RG1,Bacteria,
Pilimelia columellifera subsp. columellifera,RG1,Bacteria,
Pilimelia columellifera subsp. pallida,RG1,Bacteria,
Pilimelia terevasa,RG1,Bacteria,
Pillotina calotermitidis,RG1,Bacteria,
Pilobolus crystallinus,RG1,Fungus,
Pirellula staleyi,RG1,Bacteria,"Pirella staleyi,Planctomyces staleyi"
Serendipita indica,RG1,Fungus,Piriformospora indica
Vesiculovirus piry,RG3,Virus,"Piry vesiculovirus,Piry virus"
Piscibacillus halophilus,RG1,Bacteria,
Piscibacillus halotolerans,RG1,Bacteria,
Piscibacillus salipiscarius,RG1,Bacteria,
Piscirickettsia salmonis,RG1,Bacteria,
Pisolithus arhizus,RG1,Fungus,
Rubinisphaera brasiliensis,RG1,Bacteria,Planctomyces brasiliensis
Planctomyces guttaeformis,RG1,Bacteria,
Planctopirus limnophila,RG1,Bacteria,Planctomyces limnophilus
Planctomyces stranskae,RG1,Bacteria,
Planobispora longispora,RG1,Bacteria,
Planobispora rosea,RG1,Bacteria,
Planococcus kocurii,RG1,Bacteria,
Planococcus mcmeekinii,RG1,Bacteria,Planomicrobium mcmeekinii
Planomonospora alba,RG1,Bacteria,
Planomonospora parontospora,RG1,Bacteria,
Planomonospora parontospora subsp. antibiotica,RG1,Bacteria,
Planomonospora parontospora subsp. parontospora,RG1,Bacteria,
Planomonospora sphaerica,RG1,Bacteria,
Planomonospora venezuelensis,RG1,Bacteria,
Sporosarcina ureae,RG1,Bacteria,"Sarcina ureae,Planosarcina ureae"
Thiodictyon bacillosum,RG1,Bacteria,Planosarcina violacea
Planotetraspora mira,RG1,Bacteria,
Plasmid-encoded toxin (Pet),Unregulated Toxins,Toxin,
Plasmodium cathemerium,RG1,Parasite,Plasmodium (Haemamoeba) cathemerium
Plasmodium falciparum,RG2,Parasite,Plasmodium (Laverania) falciparum
Plasmodium berghei,RG1,Parasite,
Plasmodium chabaudi,RG1,Parasite,
Plasmodium cynomolgi,RG2,Parasite,Plasmodium cynomolgi inui
Plasmodium simium,RG2,Parasite,"Plasmodium simium eylesi,Plasmodium eylesi"
Plasmodium gallinaceum,RG1,Parasite,
Plasmodium inui,RG2,Parasite,
Plasmodium knowlesi,RG2,Parasite,
Plasmodium malariae,RG2,Parasite,
Plasmodium ovale,RG2,Parasite,
Plasmodium relictum,RG1,Parasite,
Plasmodium schwetzi,RG2,Parasite,
Plasmodium vinckei,RG1,Parasite,
Plasmodium vivax,RG2,Parasite,
Plasmodium yoelii,RG1,Parasite,
Plesiomonas shigelloides heat-labile toxin,Unregulated Toxins,Toxin,
Plesiomonas shigelloides heat-stable toxin,Unregulated Toxins,Toxin,
Pseudeurotium ovale,,Fungus,Pleuroascus ovalis
Pneumolysin,Regulated Toxins,Toxin,Pneumococcal hemolysin
Pneumocystis carinii,,Fungus,Pneumocystis carinii pneumoniae
Polaribacter filamentus,RG1,Bacteria,
Polaribacter franzmannii,RG1,Bacteria,
Polaromonas vacuolata,RG1,Bacteria,
Polyangium aureum,RG1,Bacteria,
Sorangium cellulosum,RG1,Bacteria,"Polyangium cellulosum,Polyangium compositum,Sorangium nigrescens,Sorangium nigrum"
Polyangium fumosum,RG1,Bacteria,
Polyangium luteum,RG1,Bacteria,
Polyangium parasiticum,RG1,Bacteria,
Polyangium sorediatum,RG1,Bacteria,Sorangium septatum
Polyangium spumosum,RG1,Bacteria,Sporangium spumosum
Polynucleobacter necessarius,RG1,Bacteria,
Ponteves virus,RG3,Virus,
Pontibacillus chungwhensis,RG1,Bacteria,
Pontibacillus halophilus,RG1,Bacteria,
Pontibacillus litoralis,RG1,Bacteria,
Pontibacillus marinus,RG1,Bacteria,
Roseolovirus suidbeta2,RG1,Virus,"Suid betaherpesvirus 2,Porcine cytomegalovirus"
Porcine enteric calicivirus,,Virus,
Teschovirus asilesi,RG1,Virus,"Porcine enterovirus 2,Porcine enterovirus A,Porcine teschovirus,Porcine enterovirus 3,Teschovirus A,Porcine enterovirus 8"
Porcine mastadenovirus,,Virus,Swine adenovirus
Respirovirus suis,,Virus,Porcine parainfluenza virus 1
Protoparvovirus ungulate1,RG1,Virus,"Ungulate protoparvovirus 1,Porcine parvovirus"
Porphyrobacter tepidarius,RG1,Bacteria,
Porphyromonas gulae,RG1,Bacteria,
Porphyromonas uenonis,RG1,Bacteria,Porphyromonas uenonis
Pragia fontium,RG1,Bacteria,
Prevotella amnii,RG1,Bacteria,
Prevotella amnii CRIS 21A-A,,Bacteria,Prevotella amnii CRIS 21A-A
Segatella bryantii,RG2,Bacteria,Prevotella bryantii
Prevotella histicola,RG1,Bacteria,
Prevotella histicola strain 894-02-02,RG1,Bacteria,
Prevotella nigrescens,RG2,Bacteria,
Prevotella pallens,RG1,Bacteria,
Priceomyces haplophilus,RG1,Fungus,
Priestia aryabhattai,RG1,Bacteria,
Synechocystis didemni,RG1,Bacteria,Prochloron didemni
Prochlorothrix hollandica,RG1,Bacteria,
Promicromonospora citrea,RG1,Bacteria,
Promicromonospora sukumoe,RG1,Bacteria,Promicromonospora sukumoensis
Propionivibrio pelophilus,RG1,Bacteria,Propionibacter pelophilus
Propionibacterium cyclohexanicum,RG1,Bacteria,
Propionibacterium freudenreichii,RG1,Bacteria,"Propionibacterium freudenreichii subsp. shermanii,Propionibacterium freudenreichii subsp. freudenreichii"
Propionibacterium humerusii,RG1,Bacteria,
Propioniferax innocua,RG1,Bacteria,Propionibacterium innocuum
Propionigenium maris,RG1,Bacteria,
Propionigenium modestum,RG1,Bacteria,
Propionispira arboris,RG1,Bacteria,
Propionispira paucivorans,RG1,Bacteria,Zymophilus paucivoran
Propionivibrio dicarboxylicus,RG1,Bacteria,
Prosthecobacter debontii,RG1,Bacteria,
Prosthecobacter dejongeii,RG1,Bacteria,
Prosthecobacter fusiformis,RG1,Bacteria,
Prosthecobacter vanneervenii,RG1,Bacteria,
Prosthecochloris aestuarii,RG1,Bacteria,
Prosthecomicrobium hirschii,RG1,Bacteria,
Prosthecomicrobium pneumaticum,RG1,Bacteria,
Protein involved in colonization (Pic),Unregulated Toxins,Toxin,
Proteus vulgaris,RG2,Bacteria,Proteus hauseri
Proteus hauseri,RG2,Bacteria,
Proteus mirabilis,RG2,Bacteria,
Proteus myxofaciens,RG1,Bacteria,
Proteus penneri,RG2,Bacteria,
Providencia rettgeri,RG2,Bacteria,"Shigella rettgeri,Proteus rettgeri"
Providencia stuartii,RG2,Bacteria,Proteus stuartii
Prototheca wickerhamii,RG1,Other,
Prototheca zopfii,RG1,Other,
Providencia rustigianii,RG2,Bacteria,Providencia friedericiana
Providencia heimbachae,RG1,Bacteria,
Pseudaminobacter salicylatoxidans,RG1,Bacteria,
Pseudoalteromonas antarctica,RG1,Bacteria,
Pseudoalteromonas prydzensis,RG1,Bacteria,
Pseudoalteromonas tunicata,RG1,Bacteria,
Pseudoaminobacter defluvii,RG1,Bacteria,
Pseudonocardia halophobica,RG1,Bacteria,Pseudoamycolata halophobica
Pseudobutyrivibrio ruminis,RG1,Bacteria,
Pseudomonas abietaniphila,RG1,Bacteria,
Pseudomonas aeruginosa exotoxin A,Regulated Toxins,Toxin,
Pseudomonas aeruginosa exotoxin S,Unregulated Toxins,Toxin,
Pseudomonas aeruginosa exotoxin T,Unregulated Toxins,Toxin,
Pseudomonas aeruginosa exotoxin U,Unregulated Toxins,Toxin,
Pseudomonas aeruginosa exotoxin Y,Unregulated Toxins,Toxin,
Pseudomonas aeruginosa hemolysin,Unregulated Toxins,Toxin,
Pseudomonas aeruginosa PA01 Xen41,RG2,Bacteria,
Pseudomonas aeruginosa PA14 ?aprA mutant,RG2,Bacteria,
Pseudomonas aeruginosa PA14 ?lasB mutant,RG2,Bacteria,
Pseudomonas aeruginosa PA14 ?lasB/?aprA mutant,RG2,Bacteria,
Pseudomonas aeruginosa PA14 ?piv mutant,RG2,Bacteria,
"Pseudomonas aeruginosa strain PAK-J with deletion of exotoxin genes exoS, exoT, exoY",RG2,Bacteria,
Pseudomonas alcaligenes,RG2,Bacteria,
Pseudomonas amygdali,RG1,Bacteria,
Pseudomonas anguilliseptica,RG1,Bacteria,
Pseudomonas argentinensis,RG1,Bacteria,
Pseudomonas chlororaphis subsp. aurantiaca,RG1,Bacteria,Pseudomonas aurantiaca
Pseudomonas chlororaphis subsp. aureofaciens,RG1,Bacteria,Pseudomonas aureofaciens
Sphingomonas trueperi,RG1,Bacteria,Pseudomonas azotocolligans
Pseudomonas azotoformans,RG1,Bacteria,
Pseudomonas balearica,RG1,Bacteria,
